Date,Owner,Title,FU Reply
2019-11-14 09:54:00,beritafilistin,Perekam Wanita di Kamar Ganti Baju Mall Kerap Ceramah Agama di Medsos,Dia pasti alumni 212
2019-10-01 17:38:00,ibelindua,Gubernur Anies Sampaikan Ancaman Penggantian Ideologi Pancasila Dengan Komunis,Gak pernah ngaca ya
2019-09-28 10:56:00,matadewa909,"Kecewa Ponakan Prabowo Batal Baca Doa, Gerindra WO dari MPR",Alumni 212 mana suaranya
2019-09-17 12:41:00,SENORITA88,"Pria India Bikin Helm Pakai AC, Kepala Dingin Saat Macet",Malah masuk angin ntar
2019-08-28 13:45:00,matthysse76,"Jokograd & Mandalanusa, Usulan Nama Ibu Kota Baru Indonesia Menurut Warganet",Wowoland city of kamprets
2019-06-11 17:17:00,Sobat.Gurun,"Dugaan ‘Tim Mawar’ di Balik Kerusuhan 22 Mei, Prabowo-Sandi Ngaku Gak Kenal",Kasian lo wok
2019-06-11 16:59:00,VolkswagenPutih,Kesaksian Tajudin yang Disuruh Kivlan Tembak Luhut-Wiranto-BG-Gories,Mampus lo wok
2019-05-31 11:34:00,onta.punuk.3,"Disoraki Ibu Negara oleh Pendukung di Atas Panggung, Titiek Soeharto: Presidennya",Jomblo ngenes
2019-05-25 09:11:00,shifu356,"Gugat Pilpres, Tim Hukum Prabowo-Sandi Serahkan 51 Bukti ke MK",Gak bawa bukti ya?
2019-05-24 10:10:00,dsturridge15,Sopir Ambulans Gerindra yang Bawa Batu Harus Ditahan Polisi : Pak Saya Belum Dibayar,Ayo bayar wok
2019-05-21 17:17:00,fpicondet,"Pengakuan Massa Aksi 22 Mei, Bekal Tipis Hingga Tinggalkan Anak Istri",Manusia tolol
2019-05-21 17:15:00,n4z1.v8,Wiranto Duga Eks Danjen Kopassus Soenarko Selundupkan Senjata dari Aceh,Untung bs ketahuan
2019-05-21 17:13:00,winarwi,BPN Enggan Komentari Sikap PAN yang Akui Kemenangan Jokowi-Ma’ruf,Wkwwkkwwk kapal oleng
2019-05-17 13:31:00,narutohoki,"Sakit, dr Ani Hasibuan Tak Penuhi Panggilan Polisi",Awas ntar kabur ke arab
2019-05-16 11:25:00,lordandras,"Real Count 84%, Ini 13 Provinsi yang Dimenangkan Prabowo!",Provinsi terbelakang
2019-05-16 11:19:00,dungdunggdebak,"Mau Diperiksa Bareskrim, Ust Haikal Hasan Malah Pulang kampung Ke Arab saudi",Kampret pada kabur
2019-05-16 11:02:00,lordandras,Andi Arief Sindir Anies Tak Datang Silaturahmi Bogor: Jangan Main Aman,Lain kali gak usah diundang. Kagak punya prestasi
2019-05-16 11:01:00,anying.kau,Prabowo Bikin Surat Wasiat: Kalau Terjadi Apa-apa Terhadap Saya....,Wkwk depresi
2019-05-16 10:47:00,buncitbubar,Guru Ngaji Ini Melecehkan 20 Gadis,Pasti pendukung prabowo
2019-05-14 17:26:00,mantanpanasbung,"Polisi: Tiba di Indonesia, Bachtiar Nasir Ditangkap, Lalu Ditahan",Kok gak dicekal ke luar negeri ya?
2019-05-14 17:20:00,mantanpanasbung,Ahmad Dhani Beri Nasihat ke Kapolri Soal Kasus Eggi Sudjana,Berisik lo botak
2019-05-14 17:19:00,lordandras,"Real Count KPU Pilpres 2019 Data Masuk 81,5%, Selisih Suara 15,655.833",Wkwkwkwk sukurin kalah
2019-05-14 17:17:00,anying.kau,Pengacara Eggi Sudjana: BPN Kalau Tidak Bisa Bantu Jangan Buat Kami Susah!,"paling bpn tinggal blg ""mreka bukan bagian dri Kami"" :lehuga Wkwkwkwkwk dilepeh"
2019-05-14 17:09:00,wokwikwokwik,Pengacara Eggi Sudjana: Kalau BPN Tak Bisa Bantu Jangan Bikin Susah (kampret emang),Wkwkkwwkk dilepeh
2019-05-14 10:15:00,ranttalker,"Gara-gara Ancam Penggal Kepala Jokowi, Nasib Pernikahan Pelaku Kini Di Ujung Tanduk",Mampus wkwkwk
2019-05-13 10:27:00,aleet,Opick Buka Ziarah Rambut Nabi Muhammad SAW di Rumahnya,Sudah kuduga
2019-05-11 10:28:00,winarwi,BPN Sebut Kivlan Zein Bukan Anggotanya,Mulai deh
2019-05-11 10:26:00,winarwi,Ketua Reuni 212 Ajak Massa Masuk Penjara Biar Makanan gratis,bodoh kok bangga
2019-05-11 10:25:00,richad614,Simpatisan Prabowo - Sandiaga Keracunan Kue Selesai Demo di Bawaslu,Wkwkwk mencret berjamaah
2019-05-10 17:01:00,rhaimukui,"Sebar Hoaks People Power, Dosen Pascasarjana Ditangkap Polisi",Liat tuh jidatnya. Mungkin jago nyundul kalo main futsal
2019-05-08 13:35:00,zero001,Prabowo akan Sambangi Markas PKS Siang Ini,Ditikung lo wok
2019-05-08 11:08:00,Muzmuz,"Jorok, Pembobol Minimarket 212 di Sukabumi BAB dan Kencing di Toko",Wkwkwk gblk
2019-05-08 11:04:00,ajgmj.asli,Novel Bamukmin : Yg Minta FPI Distop Adalah Pengkhianat Agama !!!,Sukurin
2019-05-08 10:56:00,anying.kau,Joko Widodo Keok di Kandang Banteng,Wkwkwk
2019-05-08 10:23:00,pasti2periode,"Jelang Pengumuman Hasil Pemilu, Densus 88 Waspadai Tempat Ramai Anggota Polisi",Nasbung bikin onar
2019-05-07 17:28:00,Muzmuz,Polisi Tetapkan Eks Ketua GNPF Ulama Bachtiar Nasir Tersangka,"yang deket sama rezim sekarang mah aman2 aja. dekatilah ulama yang di benci kaum Kafir, Gblk"
2019-05-07 17:25:00,nadaramadhan20,"Isu Ustaz di Serang Dibunuh PKI, Polda Banten: Itu Hoaks",Nasbung nih pasti
2019-05-07 17:21:00,andika.1stravel,Gerindra: Ahmad Dhani dan Mulan Jameela Tak Lolos ke DPR,Kasihan si dul
2019-05-07 17:20:00,rhaimukui,Polri Incar Penyeru Ajakan People Power,Amin rais tuh
2019-05-04 11:02:00,yamsujasmin,Keras Kepala Prabowo dan Siasat di Balik Klaim Menang Pilpres,"tenang masih punya anthony leong, chinese medan konsultan buzzer dimedsos, pakar hoax dan komandan bot kampret di twiter :o suara haikal hasan n Anthony Leong CMIW :o 5ccab2377e3a72515762e310 #NO2ISIS (@TolakBigotRI) tweeted at 10:45 PM on Wed, May 01, 2019: CARA KERJA KPU KECIL PRABOHONG. TERBO"
2019-05-04 09:55:00,gilbertagung,"Caleg Demokrat Ibas hingga Dede Yusuf Lolos ke DPR, Ferdinand Hutahaean Gagal",Wkwkwk sempak merah
2019-05-04 09:31:00,Muzmuz,BPN: Bila Perlu Jenazah Petugas KPPS Dibongkar Supaya Tak Ada Curiga,Tofa caleg gagal
2019-05-04 09:28:00,nadaramadhan20,"Mardani: Ganti Presiden Tutup Buku, Siapa Pun yang Terpilih Itu Suara Rakyat",Parasit emang
2019-05-01 11:57:00,nadaramadhan20,"Diduga Hina Ustaz Adi Hidayat dan UAS, Ramai #AndreTaulanyMakinSongong",Kuping tipis
2019-04-29 19:48:00,nadaramadhan20,Anies Klaim Banjir Jakarta Saat Ini Lebih Baik dari Masa Ahok,Banjirnya lebih barokah karena pemimpin seiman
2019-04-29 14:02:00,dungdunggdebak,Puji tuhan...Naturalisasi Sungai Jakarta selesai akhir 2019.,Yg penting seiman
